FindMyTemple_ID,Temple_Name,District,City,Taluk,Pincode,Main_Deity,Best_Match_ID,Best_Match_Name,Match_Score,Match_District
t92,Sri Erode Perumal Temple,Erode,Erode,,,,TM010265,Arulmigu Mangalagiri Perumal Temple,53.8,Erode District
t93,Sri Dindigul Perumal Temple,Dindigul,Dindigul,,,,TM032174,Arulmigu Anjaneya Perumal Temple,53.8,Dindigul District
t95,Sri Namakkal Perumal Temple,Namakkal,Namakkal,,,,TM008957,Arulmigu Anumantharayaperumal Temple,56.7,Namakkal District
t100,Sri Virudhunagar Perumal Temple,Virudhunagar,Virudhunagar,,,,TM036405,Arulmigu Vinnagara Perumal Temple,48.6,Virudhunagar District
t103,"Sri Murugan Temple, Villupuram",Villupuram,Villupuram,,,,,,0,
t104,"Sri Murugan Temple, Tiruvannamalai",Tiruvannamalai,Tiruvannamalai,,,,TM020349,Arulmigu Thirunerannamalai Temple,53.2,Tiruvannamalai District
t118,"Sri Murugan Temple, Tirupur",Tirupur,Tirupur,,,,,,0,
t121,"Sri Murugan Temple, Thoothukudi",Thoothukudi,Thoothukudi,,,,TM038202,Arulmigu Vaikundapathi Temle,40.9,Thoothukudi District
t132,Sri Dharmapuri Amman Temple,Dharmapuri,Dharmapuri,,,,TM005221,Arulmigu Ambikaparameswari Amman Temple,56.9,Dharmapuri District
t137,Sri Madurai Amman Temple,Madurai,Madurai,,,,TM031964,Arulmigu Mariamman Temple,69.1,Madurai District
t140,Sri Tirunelveli Amman Temple,Tirunelveli,Tirunelveli,,,,TM044250,Arulmigu Velininra Amman Temple,57.5,Tirunelveli District
t146,Sri Erode Amman Temple,Erode,Erode,,,,TM010291,Arulmigu Seedeviamman Temple,61.7,Erode District
t150,Sri Karur Amman Temple,Karur,Karur,,,,TM026057,Arulmigu Mariamman Temple,62.0,Karur District
t151,Sri Sivaganga Amman Temple,Sivaganga,Sivaganga,,,,TM035964,Sivagangai Samasthanam Devasthanam Temple,54.3,Sivagangai District
t152,Sri Pudukkottai Amman Temple,Pudukkottai,Pudukkottai,,,,TM026341,Pudukkottai Devasthanam,62.0,Pudukkottai District
t155,Sri Theni Amman Temple,Theni,Theni,,,,TM032293,Arulmigu Gowmariamman Temple,51.3,Theni District
t158,Sri Tiruvannamalai Amman Temple,Tiruvannamalai,Tiruvannamalai,,,,TM020349,Arulmigu Thirunerannamalai Temple,62.2,Tiruvannamalai District
t173,Sri Erode Amman Temple,Erode,Erode,,,,TM010291,Arulmigu Seedeviamman Temple,61.7,Erode District
t178,Sri Sivaganga Amman Temple,Sivaganga,Sivaganga,,,,TM035964,Sivagangai Samasthanam Devasthanam Temple,54.3,Sivagangai District
t183,Sri Cuddalore Amman Temple,Cuddalore,Cuddalore,,,,TM020783,Arulmigu Muthalamman Temple,56.9,Cuddalore District
t189,Sri Chennai Amman Temple,Chennai,Chennai,,,,TM001012,Arulmigu Pachai Amman Temple,68.0,Chennai District
t191,Sri Madurai Amman Temple,Madurai,Madurai,,,,TM031964,Arulmigu Mariamman Temple,69.1,Madurai District
t193,Sri Salem Amman Temple,Salem,Salem,,,,TM004940,Arulmigu Kaliamman Temple,62.0,Salem District
t196,Sri Kumbakonam Amman Temple,Kumbakonam,Kumbakonam,,,,,,0,
t208,"Sri Vinayagar Temple, Virudhunagar",Virudhunagar,Virudhunagar,,,,TM035885,Arulmigu Pramorsava Kattalai At Arulmigu Sokkanatha Swamy Temple Virudhunagar,50.6,Virudhunagar District
t212,"Sri Vinayagar Temple, Tiruvannamalai",Tiruvannamalai,Tiruvannamalai,,,,TM020349,Arulmigu Thirunerannamalai Temple,51.8,Tiruvannamalai District
t216,"Sri Vinayagar Temple, Chennai",Chennai,Chennai,,,,TM001074,Arulmigu Vinayagar Subramania Temple,54.7,Chennai District
t226,"Sri Hanuman Temple, Tirupur",Tirupur,Tirupur,,,,,,0,
t230,"Sri Hanuman Temple, Namakkal",Namakkal,Namakkal,,,,TM008957,Arulmigu Anumantharayaperumal Temple,50.0,Namakkal District
t234,Sri Ramanathapuram Temple,Ramanathapuram,Ramanathapuram,,,,TM035912,Arulmigu Swaminathaswami Temple,57.2,Ramanathapuram District
t237,Sri Cuddalore Temple,Cuddalore,Cuddalore,,,,TM020366,Arulmigu Padaleeswarar Temple,41.8,Cuddalore District
t242,Sri Ariyalur Temple,Ariyalur,Ariyalur,,,,TM043652,Arulmigu Pidariyar Temple,62.4,Ariyalur District
t245,Sri Madurai Temple,Madurai,Madurai,,,,TM032532,Arulmigu Madurai Veeraswamy Temple,53.6,Madurai District
t252,Sri Vellore Temple,Vellore,Vellore,,,,TM001402,Arulmigu Veeravar Temple,44.0,Vellore District
t254,Sri Erode Temple,Erode,Erode,,,,TM010291,Arulmigu Seedeviamman Temple,41.2,Erode District
t255,Sri Dindigul Temple,Dindigul,Dindigul,,,,TM032148,Arulmigu Dhandapani Temple,46.7,Dindigul District
t257,Sri Namakkal Temple,Namakkal,Namakkal,,,,TM004887,Arulmigu Narasimaswamy Temple,48.6,Namakkal District
t260,Sri Pudukkottai Temple,Pudukkottai,Pudukkottai,,,,TM026341,Pudukkottai Devasthanam,58.8,Pudukkottai District
t263,Sri Theni Temple,Theni,Theni,,,,TM032293,Arulmigu Gowmariamman Temple,27.1,Theni District
t265,Sri Villupuram Temple,Villupuram,Villupuram,,,,,,0,
t266,Sri Tiruvannamalai Temple,Tiruvannamalai,Tiruvannamalai,,,,TM020349,Arulmigu Thirunerannamalai Temple,70.3,Tiruvannamalai District
t268,Sri Krishnagiri Temple,Krishnagiri,Krishnagiri,,,,TM006932,Arulmigu Jothivinayagar Temple,44.0,Krishnagiri District
t278,Shri Rajarajeshwari Temple,,Kandamangalam,,,,TM037546,Arulmigu Raja Rajeshwari Temple,57.9,Sivagangai District
